fournisseur;ref_sku;nom_commercial;famille;categorie;poids_piece;unites_par_colis;url_source;date_collecte
Coup de Pates;841746;TARTE MIRABELLE CUIT 750G DIAM 230;PATI;autres-patisseries;750g;5;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-MIRABELLE-CUIT-750G-DIAM-230/p/841746;2026-09-10
Coup de Pates;841744;VERRE BODEGA TIRAMISU;PATI;autres-patisseries;100g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/VERRE-BODEGA-TIRAMISU/p/841744;2026-09-10
Coup de Pates;70436;FLAN COCO CHOCO PREDECOUPE D270 CUIT 1900G;PATI;autres-patisseries;;4;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/FLAN-COCO-CHOCO-PREDECOUPE-D270-CUIT-1900G/p/70436;2026-09-10
Coup de Pates;70430;CARRE CITRON MERINGUE CUIT 90G;PATI;patisserie;90g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/CARRE-CITRON-MERINGUE-CUIT-90G/p/70430;2026-09-10
Coup de Pates;70410;FINGER CAKE CHOCOLAT NOISETTE CUIT 70G;PATI;autres-patisseries;70g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/G%C3%82TEAUX/FINGER-CAKE-CHOCOLAT-NOISETTE-CUIT-70G/p/70410;2026-09-10
Coup de Pates;70419;FLAN CHOCOLAT COOKIE PREDECOUPE D270 CUIT 1950G;PATI;patisserie-americaine;;4;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/FLAN-CHOCOLAT-COOKIE-PREDECOUPE-D270-CUIT-1950G/p/70419;2026-09-10
Coup de Pates;70446;1/2 CADRE MOUSSE VANILLEE ET FRUITS DU VERGER CUIT 2450G;PATI;autres-patisseries;;1;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/1-2-CADRE-MOUSSE-VANILLEE-ET-FRUITS-DU-VERGER-CUIT-2450G/p/70446;2026-09-10
Coup de Pates;70431;CARRE ROCHER CHOCOLAT NOISETTE CUIT 85G;PATI;patisserie;85g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/CARRE-ROCHER-CHOCOLAT-NOISETTE-CUIT-85G/p/70431;2026-09-10
Coup de Pates;70411;FINGER CAKE FRUITS ROUGES CUIT 70G;PATI;autres-patisseries;70g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/G%C3%82TEAUX/FINGER-CAKE-FRUITS-ROUGES-CUIT-70G/p/70411;2026-09-10
Coup de Pates;70467;MACARON MANGUE PASSION CUIT 75G;PATI;macarons;75g;15;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/MACARON-MANGUE-PASSION-CUIT-75G/p/70467;2026-09-10
